Date,Holiday Name,Holiday Type
07/01/2018,Coptic Christmas,Religious Holiday
25/01/2018,Revolution Day January 25,National Holiday
14/02/2018,International Valentine's,Not A Public Holiday
21/03/2018,Mother's Day,Not A Public Holiday
08/04/2018,Coptic Easter Sunday,Religious Holiday
09/04/2018,Sham El Nessim,National Holiday
25/04/2018,Sinai Liberation Day,National Holiday
01/05/2018,Labour Day,National Holiday
14/06/2018,Eid Al Fitr,Religious Holiday
15/06/2018,Eid Al Fitr,Religious Holiday
16/06/2018,Eid Al Fitr,Religious Holiday
17/06/2018,Eid Al Fitr,Religious Holiday
30/06/2018,Revolution Day June 30,National Holiday
23/07/2018,Revolution Day July 23,National Holiday
21/08/2018,Eid Al Adha,Religious Holiday
22/08/2018,Eid Al Adha,Religious Holiday
23/08/2018,Eid Al Adha,Religious Holiday
24/08/2018,Eid Al Adha,Religious Holiday
25/08/2018,Eid Al Adha,Religious Holiday
12/09/2018,Hijri New Year,Religious Holiday
06/10/2018,Armed Forces Day,National Holiday
04/11/2018,Egyptian Valentine's,Not A Public Holiday
21/11/2018,Al-Mouled Al-Nabawy,Religious Holiday
