Date,Number of Trxs,Amount,Holiday Name,Holiday Type,day,month,year,weekday,dayName,is_weekend,is_weekday,days_in_month,is_holiday,is_dayoff
2018-02-01,606.0,852790.0,,,1,2,2018,3,Thursday,0,1,28,0,0
2018-02-02,111.0,164000.0,,,2,2,2018,4,Friday,1,0,28,0,1
2018-02-03,157.0,293970.0,,,3,2,2018,5,Saturday,1,0,28,0,1
2018-02-04,324.0,493650.0,,,4,2,2018,6,Sunday,0,1,28,0,0
2018-02-05,398.0,624720.0,,,5,2,2018,0,Monday,0,1,28,0,0
2018-02-06,182.0,280970.0,,,6,2,2018,1,Tuesday,0,1,28,0,0
2018-02-07,317.0,463330.0,,,7,2,2018,2,Wednesday,0,1,28,0,0
2018-02-08,77.0,128550.0,,,8,2,2018,3,Thursday,0,1,28,0,0
2018-02-09,195.0,273400.0,,,9,2,2018,4,Friday,1,0,28,0,1
2018-02-10,209.0,328890.0,,,10,2,2018,5,Saturday,1,0,28,0,1
2018-02-11,218.0,317950.0,,,11,2,2018,6,Sunday,0,1,28,0,0
2018-02-12,174.0,259750.0,,,12,2,2018,0,Monday,0,1,28,0,0
2018-02-13,82.0,114450.0,,,13,2,2018,1,Tuesday,0,1,28,0,0
2018-02-14,220.0,312250.0,International Valentine's,Not A Public Holiday,14,2,2018,2,Wednesday,0,1,28,1,1
2018-02-15,238.0,391450.0,,,15,2,2018,3,Thursday,0,1,28,0,0
2018-02-16,105.0,155250.0,,,16,2,2018,4,Friday,1,0,28,0,1
2018-02-17,189.0,225850.0,,,17,2,2018,5,Saturday,1,0,28,0,1
2018-02-18,67.0,65750.0,,,18,2,2018,6,Sunday,0,1,28,0,0
2018-02-19,203.0,268050.0,,,19,2,2018,0,Monday,0,1,28,0,0
2018-02-20,264.0,404400.0,,,20,2,2018,1,Tuesday,0,1,28,0,0
2018-02-21,346.0,635130.0,,,21,2,2018,2,Wednesday,0,1,28,0,0
2018-02-22,12.0,21450.0,,,22,2,2018,3,Thursday,0,1,28,0,0
2018-02-23,169.0,291100.0,,,23,2,2018,4,Friday,1,0,28,0,1
2018-02-24,218.0,463660.0,,,24,2,2018,5,Saturday,1,0,28,0,1
2018-02-25,384.0,774090.0,,,25,2,2018,6,Sunday,0,1,28,0,0
2018-02-26,289.0,546990.0,,,26,2,2018,0,Monday,0,1,28,0,0
2018-02-27,5.0,9550.0,,,27,2,2018,1,Tuesday,0,1,28,0,0
2018-02-28,511.0,960260.0,,,28,2,2018,2,Wednesday,0,1,28,0,0
2018-03-01,516.0,772880.0,,,1,3,2018,3,Thursday,0,1,31,0,0
2018-03-02,222.0,318910.0,,,2,3,2018,4,Friday,1,0,31,0,1
2018-03-03,460.0,686970.0,,,3,3,2018,5,Saturday,1,0,31,0,1
2018-03-04,360.0,543020.0,,,4,3,2018,6,Sunday,0,1,31,0,0
2018-03-05,460.0,537130.0,,,5,3,2018,0,Monday,0,1,31,0,0
2018-03-06,354.0,444530.0,,,6,3,2018,1,Tuesday,0,1,31,0,0
2018-03-07,300.0,438890.0,,,7,3,2018,2,Wednesday,0,1,31,0,0
2018-03-08,318.0,579300.0,,,8,3,2018,3,Thursday,0,1,31,0,0
2018-03-09,193.0,330200.0,,,9,3,2018,4,Friday,1,0,31,0,1
2018-03-10,9.0,14700.0,,,10,3,2018,5,Saturday,1,0,31,0,1
2018-03-11,235.0,367100.0,,,11,3,2018,6,Sunday,0,1,31,0,0
2018-03-12,282.0,375350.0,,,12,3,2018,0,Monday,0,1,31,0,0
2018-03-13,120.0,180950.0,,,13,3,2018,1,Tuesday,0,1,31,0,0
2018-03-14,270.0,352250.0,,,14,3,2018,2,Wednesday,0,1,31,0,0
2018-03-15,244.0,405350.0,,,15,3,2018,3,Thursday,0,1,31,0,0
2018-03-16,78.0,113500.0,,,16,3,2018,4,Friday,1,0,31,0,1
2018-03-17,187.0,211150.0,,,17,3,2018,5,Saturday,1,0,31,0,1
2018-03-18,262.0,247390.0,,,18,3,2018,6,Sunday,0,1,31,0,0
2018-03-19,79.0,80940.0,,,19,3,2018,0,Monday,0,1,31,0,0
2018-03-20,143.0,185080.0,,,20,3,2018,1,Tuesday,0,1,31,0,0
2018-03-21,481.0,878590.0,Mother's Day,Not A Public Holiday,21,3,2018,2,Wednesday,0,1,31,1,1
2018-03-22,450.0,784920.0,,,22,3,2018,3,Thursday,0,1,31,0,0
2018-03-23,138.0,188560.0,,,23,3,2018,4,Friday,1,0,31,0,1
2018-03-24,293.0,562400.0,,,24,3,2018,5,Saturday,1,0,31,0,1
2018-03-25,533.0,1053640.0,,,25,3,2018,6,Sunday,0,1,31,0,0
2018-03-26,400.0,671900.0,,,26,3,2018,0,Monday,0,1,31,0,0
2018-03-27,493.0,849580.0,,,27,3,2018,1,Tuesday,0,1,31,0,0
2018-03-28,462.0,720590.0,,,28,3,2018,2,Wednesday,0,1,31,0,0
2018-03-29,613.0,935560.0,,,29,3,2018,3,Thursday,0,1,31,0,0
2018-03-30,293.0,456790.0,,,30,3,2018,4,Friday,1,0,31,0,1
